Source,Target
Jules67269,MarkDice
Jules67269,wikileaks
Trump2016DJT,MarkDice
Trump2016DJT,wikileaks
DSwenTx,MarkDice
DSwenTx,wikileaks
TheTruth_789,MarkDice
LCham4,wikileaks
MAGAAMERICA1,MarkDice
MAGAAMERICA1,wikileaks
USofA_Number1,MarkDice
Jules67269,Rockprincess818
Terra_Nulius,ggreenwald
NotBobSaget_OK,JulianAssange
GAPeaches2017,#fakenews
Marsha78644045,DonaldJTrumpJr
ddt3500,JulianAssange
flee8250aolcom,DonaldJTrumpJr
annadeleon247,#fakenews
imamorontrumpy,JulianAssange
NoDaTeddi,DonaldJTrumpJr
Deelo53,JulianAssange
Idontdopolos,JulianAssange
thurzday60,JulianAssange
moho123,DonaldJTrumpJr
NirhoeRonald,DonaldJTrumpJr
TanyaLaPree,JulianAssange
bourbon_brawler,DonaldJTrumpJr
marbro14,JulianAssange
southpaw816,DonaldJTrumpJr
AviBoaz18,JulianAssange
brazen_infidel,JulianAssange
Angelo_Arcana,JulianAssange
shewtinstarzzz,JulianAssange
spykstr,sarahcwestwood
sandybeachaz,sarahcwestwood
PullUpSelecta,JulianAssange
vivala_ko,JulianAssange
455LE,JulianAssange
kittytenista,JulianAssange
jjdpower1970,JulianAssange
RunFreedomRun,DonaldJTrumpJr
Ncdsun,DonaldJTrumpJr
MontriciaHubba1,JulianAssange
DiversityInclud,#fakenews
tiedownguy,#fakenews
Terra_Nulius,JulianAssange
b0otyyhorann,sarahcwestwood
b0otyyhorann,DonaldJTrumpJr
RoadsRuff,#fakenews
Dean_Gberg,JulianAssange
AmyMayC2,JulianAssange
RWCinUSA,DonaldJTrumpJr
WW2SSgt,JulianAssange
UberhatReturns,DonaldJTrumpJr
AlyaFlo,JulianAssange
JohnCPatriot,SLandinSoCal
JohnCPatriot,DonaldJTrumpJr
JohnCPatriot,JulianAssange
Heather18474419,JulianAssange
AMBravata,DonaldJTrumpJr
IHatethemedia01,DonaldJTrumpJr
MikePMoney,DonaldJTrumpJr
tiedownguy,sarahcwestwood
RednaxalA,#snowday
RednaxalA,JulianAssange
TeresHope,JulianAssange
1118dext,SLandinSoCal
1118dext,JulianAssange
sunshineseth77,JulianAssange
EricSteeleLive,JulianAssange
Poppy_Fields1,JulianAssange
kfccronin,Cernovich
LozanoAuthor,Cernovich
1balambenjamin,Cernovich
cultcommoncore,Cernovich
cultcommoncore,JulianAssange
kamboparai,JulianAssange
kryptokoi,JulianAssange
Deelo53,MarkDice
spRas_,JulianAssange
lucille2482,JulianAssange
lucille2482,wikileaks
Potologist,JulianAssange
Kingsrule6364,Cernovich
A1Carolynne,JulianAssange
IHatethemedia01,MarkDice
AltFounders,JulianAssange
Toes44,DonaldJTrumpJr
lovesex5,JulianAssange
TrumpsPeople,MarkDice
USofA_Number1,DonaldJTrumpJr
_Econ101,JulianAssange
dianna10133,sarahcwestwood
dianna10133,DonaldJTrumpJr
tammygoofy,DonaldJTrumpJr
linda_troxell,KORANISBURNING_
PamelaDrew,KenDilanianNBC
ProdigalReport,KenDilanianNBC
