Source, Target
TeresHope, JulianAssange
IHatethemedia01, MarkDice
Deelo53, MarkDice
Heather18474419, JulianAssange
dianna10133, DonaldJTrumpJr
kamboparai, JulianAssange
ProdigalReport, KenDilanianNBC
lucille2482, JulianAssange
Toes44, DonaldJTrumpJr
USofA_Number1, DonaldJTrumpJr
JohnCPatriot, JulianAssange
LozanoAuthor, Cernovich
linda_troxell, KORANISBURNING_
tammygoofy, DonaldJTrumpJr
kittytenista, JulianAssange
lovesex5, JulianAssange
_Econ101, JulianAssange
sandybeachaz, sarahcwestwood
PamelaDrew, KenDilanianNBC
Kingsrule6364, Cernovich
